permID   |provID     |trkSub|mode|stn |obsTime                 |ra        |dec       |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|fltr|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
C/2006 S3|           |2006S3| CCD|F51 |2009-09-08T07:53:16.420Z|332.857946|  3.673456|0.242|0.522 |   Gaia3|18.8 |0.23  |   G|    |   Gaia3| 1.4  |1.55  |0.6   | 120|0.26  |    44|K    |
C/2006 S3|           |2006S3| CCD|F51 |2010-10-10T05:09:52.730Z|304.561864| -4.468673|0.230|0.222 |   Gaia3|19.0 |0.25  |   G|    |   Gaia3| 1.4  |1.61  |0.8   |  60|0.10  |   240|K    |
C/2006 S3|           |2006S3| CCD|F51 |2011-07-21T11:04:28.800Z|285.737965| -6.526198|0.374|0.384 |   Gaia3|18.1 |0.21  |   G|    |   Gaia3| 1.4  |1.54  |0.8   |  60|0.20  |   835|K    |
C/2006 S3|           |2006S3| CCD|F51 |2012-05-17T11:13:32.730Z|257.658375|-12.871841|0.318|0.326 |   Gaia3|15.8 |0.18  |   G|    |   Gaia3| 1.4  |1.83  |0.8   |  43|0.21  |   256|     |
C/2006 S3|           |2006S3| CCD|F51 |2013-06-07T06:43:45.410Z|203.610338|-11.321979|0.180|0.174 |   Gaia3|17.8 |0.32  |   G|    |   Gaia3| 1.4  |1.89  |0.8   |  60|0.10  |    56|     |
C/2006 S3|           |2006S3| CCD|F51 |2015-02-22T11:17:46.370Z|175.748223| -9.446021|0.194|0.194 |   Gaia3|20.1 |0.07  |   G|    |   Gaia3| 1.4  |1.68  |0.8   | 180|0.08  |    32|K    |
C/2006 S3|           |2006S3| CCD|F51 |2015-05-04T07:05:38.870Z|166.125314| -5.453998|0.334|0.356 |   Gaia3|20.0 |0.24  |   G|    |   Gaia3| 1.4  |1.48  |0.8   |  90|0.08  |    22|K    |
C/2006 S3|           |2006S3| CCD|F51 |2016-01-19T14:26:20.580Z|166.618140| -7.074588|0.138|0.160 |   Gaia3|20.4 |0.11  |   G|    |   Gaia3| 1.4  |1.81  |0.9   | 180|0.08  |    29|K    |
C/2006 S3|           |2006S3| CCD|F51 |2016-04-30T06:37:31.830Z|156.225555| -3.016295|0.140|0.168 |   Gaia3|20.8 |0.06  |   G|    |   Gaia3| 1.4  |1.72  |0.9   | 180|0.06  |    39|K    |
C/2006 S3|           |2006S3| CCD|F51 |2018-01-17T12:03:40.700Z|150.943148| -2.652437|0.414|0.416 |   Gaia3|22.2 |0.10  |   G|    |   Gaia3| 1.4  |1.24  |0.8   | 180|0.06  |    26|K    |
C/2006 S3|           |2006S3| CCD|F51 |2019-02-05T11:06:21.510Z|144.559836| -0.837122|0.376|0.382 |   Gaia3|23.0 |0.15  |   G|    |   Gaia3| 1.4  |0.90  |0.8   | 180|0.08  |    30|K    |
C/2006 S3|           |2006S3| CCD|F51 |2019-12-24T14:18:28.890Z|143.153085| -0.210550|0.422|0.462 |   Gaia3|22.8 |0.10  |   G|    |   Gaia3| 1.4  |1.21  |0.9   | 180|0.14  |    53|K    |
C/2006 S3|           |  2006S3-2| CCD|F51 |2010-10-22T06:00:51.980Z|303.337537| -5.245151|0.390|0.336 |   Gaia3|18.4|0.24 |   G|    |   Gaia3| 1.4  |1.44  |0.6   |  60|0.14  |   106|K    |
C/2006 S3|           |  2006S3-2| CCD|F51 |2011-06-26T12:43:23.770Z|293.944970| -5.292830|0.330|0.306 |   Gaia3|16.8|0.11 |   G|    |   Gaia3| 1.4  |1.64  |0.6   |  40|0.17  |   581|     |
C/2006 S3|           |  2006S3-2| CCD|F51 |2012-04-15T14:56:10.540Z|267.486765|-13.427396|0.102|0.110 |   Gaia3|15.1|0.16 |   G|    |   Gaia3| 1.4  |2.44  |0.7   |  30|0.07  |  3654|     |
C/2006 S3|           |  2006S3-2| CCD|F51 |2013-06-24T06:21:55.900Z|200.682642|-10.518983|0.232|0.210 |   Gaia3|17.5|0.25 |   G|    |   Gaia3| 1.4  |1.61  |0.6   |  80|0.11  |    39|     |
C/2006 S3|           |  2006S3-2| CCD|F51 |2015-02-23T11:12:35.460Z|175.599695| -9.400382|0.136|0.158 |   Gaia3|19.0|0.12 |   G|    |   Gaia3| 1.4  |1.75  |0.6   |  45|0.06  |    41|     |
C/2006 S3|           |  2006S3-2| CCD|F51 |2015-04-25T08:11:47.850Z|167.000658| -5.920279|0.202|0.170 |   Gaia3|19.1|0.16 |   G|    |   Gaia3| 1.4  |1.66  |0.6   | 180|0.09  |    39|K    |
C/2006 S3|           |  2006S3-2| CCD|F51 |2016-01-21T12:51:02.160Z|166.437682| -7.039525|0.550|0.566 |   Gaia3|19.8|0.21 |   G|    |   Gaia3| 1.4  |1.13  |0.6   |  45|0.09  |    38|     |
C/2006 S3|           |  2006S3-2| CCD|F51 |2018-01-16T12:43:21.670Z|151.014148| -2.667307|0.258|0.264 |   Gaia3|21.5|0.10 |   G|    |   Gaia3| 1.4  |1.33  |0.6   | 180|0.05  |    29|K    |
C/2006 S3|           |2006S3| CCD|W84 |2015-12-27T06:35:32.930Z|168.374757|-7.269016|0.256|0.262|   Gaia3|19.6|0.19|   G|    |   Gaia3|1.4|1.43|0.7|91|0.05|145|     |
C/2006 S3|           |2006S3| CCD|W84 |2017-03-01T03:52:11.440Z|153.589241|-3.360536|0.244|0.27|   Gaia3|19.1|0.17|   G|    |   Gaia3|1.4|1.51|0.7|175|0.1|170|     |
C/2006 S3|           |2006S3| CCD|W84 |2018-05-04T01:54:05.760Z|144.014668|0.288452|0.456|0.456|   Gaia3|21.0|0.14|   G|    |   Gaia3|1.4|1.09|0.7|100|0.04|219|     |
C/2006 S3|           |2006S3| CCD|W84 |2018-12-12T07:25:25.800Z|147.808731|-1.402125|1.766|1.762|   Gaia3|20.5|0.18|   G|    |   Gaia3|1.4|1.03|0.7|81|0.09|143|     |
C/2006 S3|           |2006S3| CCD|W84 |2020-02-28T01:01:45.290Z|139.259629|0.784459|1.854|1.854|   Gaia3|22.2|0.17|   G|    |   Gaia3|1.4|0.88|0.7|60|0.04|217|     |
C/2006 S3|           |2006S3| CCD|W84 |2020-11-24T07:23:39.740Z|140.728742|0.797557|2.33|2.33|   Gaia3|21.6|0.18|   G|    |   Gaia3|1.4|0.9|0.7|60|0.07|230|     |
C/2006 S3|           |2006S3| CCD|W84 |2021-03-31T01:46:38.390Z|134.827544|2.322969|1.498|1.498|   Gaia3|21.0|0.18|   G|    |   Gaia3|1.4|0.85|0.7|60|0.07|239|     |
C/2006 S3|           |2006S3| CCD|T14 |2015-01-25T14:25:09.150Z|179.420473|-10.366792|0.11|0.172|   Gaia3|18.2|0.11|   G|    |   Gaia3|1.0|1.75|0.5|60|0.08|46|     |centroid
C/2006 S3|           |2006S3| CCD|T14 |2015-02-16T15:17:07.130Z|176.600150|-9.697058|0.092|0.096|   Gaia3|18.2|0.11|   G|    |   Gaia3|1.0|1.77|0.5|60|0.04|49|     |centroid
C/2006 S3|           |2006S3| CCD|T14 |2018-05-16T06:28:24.730Z|143.826640|0.529939|0.124|0.132|   Gaia3|22.2|0.16|   G|    |   Gaia3|1.0|1.38|0.5|240|0.03|48|     |centroid
C/2006 S3|           |2006S3| CCD|T14 |2018-06-10T05:58:00.690Z|143.916045|0.834251|0.33|0.334|   Gaia3|20.2|0.14|   G|    |   Gaia3|1.0|1.11|0.5|240|0.05|59|     |centroid
