permID   |provID     |trkSub  |mode|stn |obsTime                 |ra        |dec       |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|fltr|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
C/2010 U3|           |  2010U3| CCD|F51 |2011-09-07T15:13:45.930Z| 42.740198|+14.199118|0.398|0.398 |   Gaia3|22.3 |0.34  |   G|    |   Gaia3| 1.4  |0.85  |0.8   |  60|0.03  |    37|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2011-11-24T07:04:27.320Z| 39.030569|+14.015435|0.426|0.432 |   Gaia3|20.5 |0.29  |   G|    |   Gaia3| 1.4  |1.30  |0.9   | 166|0.04  |    20|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2012-10-19T13:08:32.650Z| 43.004510|+19.997580|0.232|0.388 |   Gaia3|21.3 |0.07  |   G|    |   Gaia3| 1.4  |1.39  |0.8   | 180|0.16  |    14|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2014-02-13T06:03:59.210Z| 40.484078|+27.162940|0.558|0.564 |   Gaia3|20.6 |0.19  |   G|    |   Gaia3| 1.4  |0.87  |0.6   |  80|0.13  |    32|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2014-12-07T08:41:53.550Z| 45.393779|+36.286128|0.486|0.478 |   Gaia3|20.4 |0.15  |   G|    |   Gaia3| 1.4  |1.04  |0.6   | 180|0.13  |    83|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2016-10-17T13:21:16.320Z| 69.810145|+59.719730|0.282|0.254 |   Gaia3|19.6 |0.14  |   G|    |   Gaia3| 1.4  |1.63  |0.6   | 360|0.16  |   226|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2017-02-04T06:19:27.800Z| 55.496560|+60.956312|0.216|0.202 |   Gaia3|19.5 |0.12  |   G|    |   Gaia3| 1.4  |1.77  |0.6   | 180|0.11  |   474|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2017-11-18T13:24:28.230Z|105.313479|+74.037548|0.184|0.252 |   Gaia3|18.8 |0.08  |   G|    |   Gaia3| 1.4  |1.85  |0.6   | 180|0.13  |    63|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2020-05-07T12:45:19.120Z|191.292896|+54.166020|0.900|0.910 |   Gaia3|20.2 |0.26  |   G|    |   Gaia3| 1.4  |0.99  |0.6   | 360|0.12  |    15|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2020-08-01T07:17:35.670Z|191.612694|+44.197528|0.550|0.458 |   Gaia3|20.4 |0.20  |   G|    |   Gaia3| 1.4  |1.30  |0.6   | 180|0.19  |    25|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2021-03-25T13:17:21.330Z|207.235593|+37.833714|1.430|1.356 |   Gaia3|21.6 |0.32  |   G|    |   Gaia3| 1.4  |0.66  |0.8   | 180|0.27  |    11|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2021-07-24T07:39:52.520Z|200.238680|+30.573765|1.004|1.006 |   Gaia3|23.4 |0.44  |   G|    |   Gaia3| 1.4  |0.46  |0.8   | 480|0.06  |    18|K    |
C/2010 U3|           |  2010U3| CCD|F51 |2023-04-15T13:09:12.780Z|214.200621|+10.348679|0.400|0.396 |   Gaia3|21.3 |0.11  |   G|    |   Gaia3| 1.4  |1.16  |0.6   | 180|0.14  |    39|K    |
C/2010 U3|           |  2010U3| CCD|T14 |2005-11-05T07:59:26.630Z| 34.036566|-6.233290|0.21|0.21|   Gaia3|22.7|0.18|   G|    |   Gaia3|1.0|1.15|0.5|615|0.01|20|     |centroid
C/2010 U3|           |  2010U3| CCD|T14 |2006-08-18T12:59:37.760Z| 36.939378|-3.171165|0.382|0.382|   Gaia3|21.5|0.22|   G|    |   Gaia3|1.0|1.08|0.5|576|0.03|38|     |centroid
C/2010 U3|           |  2010U3| CCD|T14 |2006-08-30T14:34:50.640Z| 36.788266|-3.285477|0.332|0.332|   Gaia3|20.9|0.1|   G|    |   Gaia3|1.0|1.19|0.5|420|0.02|27|     |centroid
C/2010 U3|           |  2010U3| CCD|T14 |2006-08-30T15:06:21.020Z| 36.787871|-3.285785|0.462|0.462|   Gaia3|21.5|0.16|   G|    |   Gaia3|0.8|0.96|0.5|420|0.03|27|     |centroid
