permID|provID|trkSub|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|mag|rmsMag|band|fltr|photCat|photAp|logSNR|seeing|exp|rmsFit|nStars|notes|remarks
C/2017 K2|           |2017K2| CCD|W84 |2022-09-16T23:46:45.120Z|238.689967|-28.265977|0.146|0.156|   Gaia3|13.9|0.18|   G|    |   Gaia3|1.4|1.98|0.7|90|0.09|320|     |
C/2017 K2|           |2017K2| CCD|T14 |2017-05-22T13:30:06.470Z|267.956680|64.531729|0.108|0.136|   Gaia3|19.9|0.07|   G|    |   Gaia3|1.0|1.68|0.5|60|0.05|86|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2017-05-28T10:12:48.160Z|267.206842|64.641981|0.194|0.196|   Gaia3|18.8|0.18|   G|    |   Gaia3|1.0|1.49|0.5|60|0.06|97|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2017-06-24T11:17:32.700Z|263.436745|64.652983|0.098|0.1|   Gaia3|20.7|0.11|   G|    |   Gaia3|1.0|1.68|0.6|60|0.02|75|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2017-07-16T07:54:38.550Z|260.567856|64.048631|0.134|0.14|   Gaia3|19.8|0.12|   G|    |   Gaia3|1.0|1.57|0.5|60|0.04|91|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2017-09-14T05:32:59.180Z|257.131922|60.446653|0.106|0.118|   Gaia3|19.7|0.17|   G|    |   Gaia3|0.8|1.59|0.5|60|0.04|74|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2017-10-23T04:41:54.960Z|258.946642|57.871137|0.892|0.89|   Gaia3|19.7|0.22|   G|    |   Gaia3|1.0|0.96|0.5|30|0.05|77|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2017-11-22T04:49:12.200Z|261.849698|56.466681|0.474|0.446|   Gaia3|17.9|0.18|   G|    |   Gaia3|1.0|1.24|0.4|30|0.15|73|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2018-09-03T05:53:44.570Z|257.061621|58.059524|0.126|0.13|   Gaia3|18.7|0.1|   G|    |   Gaia3|1.0|1.69|0.5|60|0.04|88|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2018-11-06T04:43:45.460Z|260.212335|53.214605|0.078|0.076|   Gaia3|19.9|0.12|   G|    |   Gaia3|1.0|1.72|0.6|60|0.01|80|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2019-03-04T15:27:35.730Z|272.929453|53.822414|0.09|0.086|   Gaia3|19.7|0.11|   G|    |   Gaia3|1.0|1.76|0.6|30|0.02|140|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2019-04-03T15:01:21.060Z|273.410075|55.807608|0.076|0.076|   Gaia3|19.6|0.12|   G|    |   Gaia3|1.0|1.81|0.5|30|0.01|125|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2019-07-05T07:49:49.140Z|262.417187|58.234585|0.078|0.076|   Gaia3|18.5|0.13|   G|    |   Gaia3|1.0|1.93|0.5|60|0.03|87|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2019-08-12T08:04:55.720Z|257.843530|55.699314|0.07|0.074|   Gaia3|18.6|0.12|   G|    |   Gaia3|1.0|1.81|0.5|60|0.02|82|     |centroid
C/2017 K2|           |2017K2| CCD|T14 |2020-07-18T09:55:48.720Z|260.261099|51.765117|0.208|0.196|   Gaia3|17.1|0.17|   G|    |   Gaia3|1.0|1.56|0.5|80|0.08|33|     |centroid
